,RRIntervals,Time,Flag
320,0.767,251.67800000000005,0
321,0.804,252.44500000000005,0
322,0.839,253.24900000000005,0
323,0.846,254.08800000000005,0
324,0.815,254.93400000000005,0
325,0.762,255.74900000000005,0
326,0.776,256.511,0
327,0.77,257.28700000000003,0
328,0.74,258.057,0
329,0.754,258.797,0
330,0.761,259.55100000000004,0
331,0.781,260.31200000000007,0
332,0.733,261.0930000000001,0
333,0.672,261.8260000000001,0
334,0.695,262.4980000000001,0
335,0.699,263.1930000000001,0
336,0.706,263.8920000000001,0
337,0.747,264.5980000000001,0
338,0.777,265.34500000000014,0
339,0.775,266.1220000000001,0
340,0.763,266.8970000000001,0
341,0.758,267.6600000000001,0
342,0.766,268.41800000000006,0
343,0.776,269.1840000000001,0
344,0.786,269.9600000000001,0
345,0.801,270.7460000000001,0
346,0.786,271.5470000000001,0
347,0.772,272.3330000000001,0
348,0.756,273.1050000000001,0
349,0.758,273.86100000000005,0
350,0.794,274.619,0
351,0.832,275.413,0
352,0.85,276.245,0
353,0.831,277.095,0
354,0.811,277.92600000000004,0
355,0.837,278.737,0
356,0.841,279.574,0
357,0.853,280.415,0
358,0.851,281.26800000000003,0
359,0.855,282.119,0
360,0.88,282.97400000000005,0
361,0.867,283.85400000000004,0
362,0.822,284.72100000000006,0
363,0.841,285.54300000000006,0
364,0.853,286.38400000000007,0
365,0.87,287.2370000000001,0
366,0.886,288.1070000000001,0
367,0.841,288.9930000000001,0
368,0.859,289.8340000000001,0
369,0.868,290.6930000000001,0
370,0.886,291.5610000000001,0
371,0.871,292.4470000000001,0
372,0.886,293.3180000000001,0
373,0.885,294.2040000000001,0
374,0.882,295.0890000000001,0
375,0.846,295.9710000000001,0
376,0.851,296.8170000000001,0
377,0.873,297.6680000000001,0
378,0.907,298.5410000000001,0
379,0.907,299.4480000000001,0
380,0.924,300.3550000000001,0
381,0.979,301.27900000000005,0
382,0.965,302.25800000000004,0
383,0.935,303.223,0
384,0.934,304.158,0
385,0.917,305.09200000000004,0
386,0.901,306.009,0
387,0.861,306.91,0
388,0.874,307.771,0
389,0.896,308.64500000000004,0
390,0.897,309.54100000000005,0
391,0.83,310.43800000000005,0
392,0.855,311.26800000000003,0
393,0.86,312.12300000000005,0
394,0.848,312.98300000000006,0
395,0.808,313.8310000000001,0
396,0.837,314.63900000000007,0
397,0.861,315.47600000000006,0
398,0.911,316.33700000000005,0
399,0.863,317.24800000000005,0
400,0.903,318.11100000000005,0
401,0.894,319.01400000000007,0
402,0.884,319.9080000000001,0
403,0.83,320.7920000000001,0
404,0.84,321.62200000000007,0
405,0.847,322.46200000000005,0
406,0.833,323.309,0
407,0.791,324.14200000000005,0
408,0.813,324.93300000000005,0
409,0.835,325.74600000000004,0
410,0.832,326.581,0
411,0.794,327.413,0
412,0.812,328.207,0
413,0.826,329.019,0
414,0.79,329.845,0
415,0.782,330.63500000000005,0
416,0.795,331.41700000000003,0
417,0.779,332.21200000000005,0
418,0.717,332.99100000000004,0
419,0.741,333.708,0
420,0.767,334.449,0
421,0.787,335.216,0
422,0.757,336.003,0
423,0.771,336.76,0
424,0.739,337.531,0
425,0.714,338.27,0
426,0.658,338.984,0
427,0.624,339.642,0
428,0.611,340.266,0
429,0.621,340.877,0
430,0.628,341.498,0
431,0.66,342.126,0
432,0.661,342.786,0
433,0.668,343.447,0
434,0.688,344.115,0
435,0.67,344.803,0
436,0.643,345.473,0
437,0.642,346.116,0
438,0.667,346.758,0
439,0.686,347.42499999999995,0
440,0.706,348.11099999999993,0
441,0.721,348.81699999999995,0
442,0.716,349.53799999999995,0
443,0.734,350.25399999999996,0
444,1.468,350.98799999999994,0
445,0.728,352.45599999999996,0
446,0.709,353.18399999999997,0
447,0.722,353.893,0
448,0.728,354.61499999999995,0
449,0.772,355.34299999999996,0
450,0.774,356.11499999999995,0
451,0.75,356.88899999999995,0
452,0.788,357.63899999999995,0
453,0.808,358.42699999999996,0
454,0.834,359.23499999999996,0
455,1.667,360.06899999999996,0
456,0.83,361.73599999999993,0
457,0.828,362.5659999999999,0
458,0.788,363.3939999999999,0
459,0.776,364.1819999999999,0
460,0.806,364.9579999999999,0
461,0.804,365.7639999999999,0
462,0.78,366.56799999999987,0
463,0.789,367.34799999999984,0
464,0.803,368.13699999999983,0
465,0.817,368.9399999999998,0
466,0.802,369.75699999999983,0
467,0.741,370.55899999999986,0
468,0.771,371.29999999999984,0
469,1.624,372.07099999999986,0
470,0.855,373.6949999999999,0
471,0.254,374.5499999999999,0
472,1.453,374.8039999999999,0
473,0.777,376.2569999999999,0
474,0.796,377.0339999999999,0
475,0.808,377.82999999999987,0
476,1.52,378.63799999999986,0
477,0.756,380.15799999999984,0
478,0.777,380.9139999999998,0
479,0.764,381.6909999999998,0
480,0.721,382.4549999999998,0
481,0.769,383.1759999999998,0
482,0.822,383.9449999999998,0
483,1.691,384.7669999999998,0
484,0.859,386.4579999999998,0
485,0.85,387.3169999999998,0
486,0.798,388.1669999999998,0
487,0.847,388.9649999999998,0
488,0.87,389.8119999999998,0
489,1.66,390.6819999999998,0
490,0.812,392.3419999999998,0
491,1.639,393.1539999999998,0
492,0.795,394.79299999999984,0
493,0.815,395.58799999999985,0
494,1.58,396.40299999999985,0
495,0.784,397.98299999999983,0
496,0.799,398.7669999999998,0
497,0.797,399.5659999999998,0
498,0.765,400.36299999999983,0
499,0.771,401.1279999999998,0
500,0.746,401.89899999999983,0
501,0.748,402.6449999999998,0
